file	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
benchmarks/neighbors_F_268_0_C_15865_2.tsv	1636.3985	0:27:16	795.82	6442.90	790.28	791.96	400.00	9027.45	2001.42
benchmarks/neighbors_F_268_0_C_31731_0.tsv	1633.8552	0:27:13	1285.34	6934.30	1276.94	1280.05	8.37	10891.21	1939.38
benchmarks/neighbors_F_268_0_C_31731_1.tsv	1641.1274	0:27:21	1292.20	6934.18	1283.80	1286.91	0.00	10919.19	1916.72
benchmarks/neighbors_F_268_0_C_31731_2.tsv	1644.6729	0:27:24	1292.34	6934.09	1286.80	1288.49	8.37	10915.21	1926.50
benchmarks/neighbors_F_268_0_C_47596_0.tsv	1707.6604	0:28:27	1784.75	7426.44	1779.21	1780.90	637.11	12777.18	1845.19
benchmarks/neighbors_F_268_0_C_47596_1.tsv	1716.3087	0:28:36	1786.23	7426.47	1780.69	1782.38	8.37	12767.54	1843.96
benchmarks/neighbors_F_268_0_C_47596_2.tsv	1701.6257	0:28:21	1785.83	7424.86	1780.30	1781.97	8.42	12785.08	1846.36
benchmarks/neighbors_F_268_0_C_63462_0.tsv	1785.0642	0:29:45	2270.27	7918.14	2264.73	2266.42	750.45	14621.57	1783.67
benchmarks/neighbors_F_268_0_C_63462_1.tsv	1796.1433	0:29:56	2274.93	7930.18	2269.39	2271.08	742.02	14644.51	1769.43
benchmarks/neighbors_F_268_0_C_63462_2.tsv	1768.4434	0:29:28	2271.23	7917.29	2265.69	2267.38	8.37	14640.52	1769.07
benchmarks/neighbors_F_268_0_C_79328_0.tsv	1858.0852	0:30:58	2764.52	8420.67	2758.99	2760.67	8.37	16505.94	1682.23
benchmarks/neighbors_F_268_0_C_79328_1.tsv	1857.5514	0:30:57	2767.74	8419.92	2762.20	2763.89	8.37	16505.94	1683.81
benchmarks/neighbors_F_268_0_C_79328_2.tsv	1877.1729	0:31:17	2765.96	8434.59	2760.43	2762.11	982.07	16481.99	1649.81
benchmarks/neighbors_F_403_0_C_15865_0.tsv	2236.6445	0:37:16	799.29	6447.18	793.74	795.43	9.33	9042.73	2232.80
benchmarks/neighbors_F_403_0_C_15865_1.tsv	2229.0019	0:37:09	801.11	6452.16	792.70	795.81	409.33	9050.70	2229.62
benchmarks/neighbors_F_403_0_C_15865_2.tsv	2246.9408	0:37:26	797.83	6443.82	792.29	793.97	9.33	9067.29	2232.85
benchmarks/neighbors_F_403_0_C_31731_0.tsv	2219.9209	0:36:59	1291.18	6937.09	1282.78	1285.80	9.33	10925.59	2166.84
benchmarks/neighbors_F_403_0_C_31731_1.tsv	2208.4330	0:36:48	1291.85	6936.21	1283.45	1286.55	9.33	10903.17	2171.19
benchmarks/neighbors_F_403_0_C_31731_2.tsv	2228.4663	0:37:08	1289.98	6937.00	1281.58	1284.68	521.33	10917.68	2169.55
benchmarks/neighbors_F_403_0_C_47596_0.tsv	2269.5099	0:37:49	1784.95	7425.91	1776.54	1779.65	9.33	12769.15	2080.42
benchmarks/neighbors_F_403_0_C_47596_1.tsv	2302.1428	0:38:22	1783.66	7426.49	1778.12	1779.80	9.33	12802.29	2101.62
benchmarks/neighbors_F_403_0_C_47596_2.tsv	2266.6961	0:37:46	1774.31	7426.06	1768.78	1770.47	9.33	12771.61	2079.06
benchmarks/neighbors_F_403_0_C_63462_0.tsv	2358.6500	0:39:18	2268.12	7915.38	2262.58	2264.27	742.09	14634.45	2029.81
benchmarks/neighbors_F_403_0_C_63462_1.tsv	2362.1617	0:39:22	2271.90	7929.68	2266.35	2268.04	751.34	14666.60	2022.38
benchmarks/neighbors_F_403_0_C_63462_2.tsv	2356.5878	0:39:16	2273.01	7929.95	2267.81	2269.33	119.58	14636.47	2002.09
benchmarks/neighbors_F_403_0_C_79328_0.tsv	2440.3333	0:40:40	2767.81	8417.81	2762.28	2763.97	9.33	16508.41	1952.26
benchmarks/neighbors_F_403_0_C_79328_1.tsv	2441.0605	0:40:41	2766.90	8418.12	2761.36	2763.05	9.33	16506.84	1929.48
benchmarks/neighbors_F_403_0_C_79328_2.tsv	2438.8837	0:40:38	2766.25	8418.07	2760.71	2762.39	864.57	16512.40	1954.43
benchmarks/neighbors_F_537_0_C_15865_0.tsv	2856.7271	0:47:36	804.09	6447.51	798.54	800.23	410.30	9070.00	2337.05
benchmarks/neighbors_F_537_0_C_15865_1.tsv	2859.2712	0:47:39	797.58	6450.28	792.04	793.72	410.30	9066.47	2342.63
benchmarks/neighbors_F_537_0_C_15865_2.tsv	2886.1992	0:48:06	789.99	6443.79	784.45	786.13	10.29	9071.08	2340.17
benchmarks/neighbors_F_537_0_C_31731_0.tsv	2833.8331	0:47:13	1284.96	6935.24	1276.55	1279.66	10.29	10928.90	2289.91
benchmarks/neighbors_F_537_0_C_31731_1.tsv	2831.4542	0:47:11	1292.31	6933.31	1283.91	1287.01	10.29	10930.92	2283.55
benchmarks/neighbors_F_537_0_C_31731_2.tsv	2842.3511	0:47:22	1291.04	6931.24	1282.63	1285.74	522.30	10956.23	2289.34
benchmarks/neighbors_F_537_0_C_47596_0.tsv	2874.9399	0:47:54	1785.62	7421.72	1777.22	1780.33	628.74	12816.82	2223.29
benchmarks/neighbors_F_537_0_C_47596_1.tsv	2917.2623	0:48:37	1788.25	7426.01	1782.71	1784.40	31.02	12800.78	2228.41
benchmarks/neighbors_F_537_0_C_47596_2.tsv	2888.0940	0:48:08	1782.32	7443.40	1776.79	1778.47	75.03	12798.38	2201.64
benchmarks/neighbors_F_537_0_C_63462_0.tsv	2966.2565	0:49:26	2274.46	7914.41	2268.92	2270.61	752.38	14679.58	2169.05
benchmarks/neighbors_F_537_0_C_63462_1.tsv	2955.3082	0:49:15	2275.44	7915.32	2269.89	2271.59	10.29	14655.88	2170.88
benchmarks/neighbors_F_537_0_C_63462_2.tsv	2945.6409	0:49:05	2264.15	7914.42	2258.61	2260.30	77.70	14668.21	2146.56
benchmarks/neighbors_F_537_0_C_79328_0.tsv	3024.7841	0:50:24	2763.42	8414.07	2757.88	2759.56	875.46	16515.72	2098.59
benchmarks/neighbors_F_537_0_C_79328_1.tsv	3019.6941	0:50:19	2767.90	8415.13	2762.35	2764.04	10.29	16515.72	2098.70
benchmarks/neighbors_F_537_0_C_79328_2.tsv	3021.9483	0:50:21	2766.12	8415.93	2760.58	2762.26	865.54	16549.38	2097.94
benchmarks/neighbors_F_672_0_C_15865_0.tsv	3430.6640	0:57:10	808.47	6450.27	802.93	804.62	411.26	9082.27	2402.73
benchmarks/neighbors_F_672_0_C_15865_1.tsv	3420.9411	0:57:00	802.57	6453.02	797.03	798.71	11.26	9094.34	2407.84
benchmarks/neighbors_F_672_0_C_15865_2.tsv	3467.2871	0:57:47	804.14	6446.39	798.59	800.28	400.00	9075.01	2400.07
benchmarks/neighbors_F_672_0_C_31731_0.tsv	3398.9962	0:56:38	1293.64	6937.96	1285.24	1288.35	523.26	10949.17	2355.47
benchmarks/neighbors_F_672_0_C_31731_1.tsv	3375.2097	0:56:15	1292.23	6936.07	1283.82	1286.93	523.26	10942.84	2355.77
benchmarks/neighbors_F_672_0_C_31731_2.tsv	3394.5467	0:56:34	1286.25	6935.05	1280.70	1282.39	512.00	10954.80	2357.12
benchmarks/neighbors_F_672_0_C_47596_0.tsv	3439.2634	0:57:19	1785.93	7443.23	1780.39	1782.08	797.27	12800.82	2287.27
benchmarks/neighbors_F_672_0_C_47596_1.tsv	3475.5559	0:57:55	1775.91	7430.45	1770.36	1772.05	649.70	12803.13	2296.86
benchmarks/neighbors_F_672_0_C_47596_2.tsv	3423.5832	0:57:03	1776.73	7431.46	1771.19	1772.88	668.35	12836.40	2292.05
benchmarks/neighbors_F_672_0_C_63462_0.tsv	3519.3502	0:58:39	2268.18	7918.91	2263.89	2264.96	30.70	14691.51	2257.77
benchmarks/neighbors_F_672_0_C_63462_1.tsv	3506.4576	0:58:26	2274.45	7930.04	2268.91	2270.60	11.26	14696.06	2249.71
benchmarks/neighbors_F_672_0_C_63462_2.tsv	3482.2904	0:58:02	2277.14	7918.02	2271.57	2273.27	767.94	14692.07	2252.83
benchmarks/neighbors_F_672_0_C_79328_0.tsv	3581.3334	0:59:41	2763.23	8416.29	2757.70	2759.39	1024.05	16539.97	2179.37
benchmarks/neighbors_F_672_0_C_79328_1.tsv	3560.8721	0:59:20	2770.22	8417.74	2764.68	2766.37	11.26	16531.99	2195.99
benchmarks/neighbors_F_672_0_C_79328_2.tsv	3554.8407	0:59:14	2764.35	8416.94	2758.80	2760.50	855.25	16537.55	2199.51
